"horizon","response","shock","irf"
47,"z","demand",-0.0075487227615783
48,"z","demand",-0.00693693792422437
49,"z","demand",-0.00637475314258603
50,"z","demand",-0.00585813592287219
0,"z","supply",-0.00754492233978132
1,"z","supply",-0.241746113223357
2,"z","supply",-0.336211691969111
3,"z","supply",-0.357431131119935
4,"z","supply",-0.379416771395376
5,"z","supply",-0.340149526398281
6,"z","supply",-0.337450885449834
7,"z","supply",-0.304490042978574
8,"z","supply",-0.269962726392542
9,"z","supply",-0.236606940963398
10,"z","supply",-0.210770260077503
11,"z","supply",-0.187922378823991
12,"z","supply",-0.168274600268512
13,"z","supply",-0.151700203146311
14,"z","supply",-0.138114007813063
15,"z","supply",-0.127087984225869
16,"z","supply",-0.116964069244822
17,"z","supply",-0.10801662450131
18,"z","supply",-0.0998148159860767
19,"z","supply",-0.0923079386073617
20,"z","supply",-0.0852369122765718
21,"z","supply",-0.0785905344246517
22,"z","supply",-0.0723714376390237
23,"z","supply",-0.0665827812605104
24,"z","supply",-0.0612036283741157
25,"z","supply",-0.0562173216815311
26,"z","supply",-0.0516230632218382
27,"z","supply",-0.0473996073299311
28,"z","supply",-0.0435251802542705
29,"z","supply",-0.0399711133178343
30,"z","supply",-0.0367137836903533
31,"z","supply",-0.0337282420646066
32,"z","supply",-0.0309905952642981
33,"z","supply",-0.0284783853910746
34,"z","supply",-0.0261717899091417
35,"z","supply",-0.0240531317108647
36,"z","supply",-0.0221063133563964
37,"z","supply",-0.0203169165101007
38,"z","supply",-0.0186719493914211
39,"z","supply",-0.017159748898501
40,"z","supply",-0.0157696311429865
41,"z","supply",-0.0144918169338672
42,"z","supply",-0.0133173195018977
43,"z","supply",-0.0122378779957708
44,"z","supply",-0.0112458699697945
45,"z","supply",-0.0103342584929976
46,"z","supply",-0.0094965548497243
47,"z","supply",-0.00872678070191788
48,"z","supply",-0.0080194320989693
49,"z","supply",-0.00736944346310923
50,"z","supply",-0.00677215757531179
