"horizon","response","shock","irf"
39,"y","supply",0.00774187336213436
40,"y","supply",0.00773847537209437
41,"y","supply",0.00773550154736149
42,"y","supply",0.00773289894010323
43,"y","supply",0.00773062121187478
44,"y","supply",0.00772862780858038
45,"y","supply",0.00772688323842295
46,"y","supply",0.00772535643998596
47,"y","supply",0.00772402022919658
48,"y","supply",0.00772285081532348
49,"y","supply",0.00772182737739176
50,"y","supply",0.00772093169347339
0,"z","demand",-0.620507881973553
1,"z","demand",-0.614957246817511
2,"z","demand",-0.609220659361513
3,"z","demand",-0.55575010231553
4,"z","demand",-0.500565285588787
5,"z","demand",-0.443631578327413
6,"z","demand",-0.391247848754596
7,"z","demand",-0.34370104634061
8,"z","demand",-0.301446932285558
9,"z","demand",-0.264111591474242
10,"z","demand",-0.231285867682697
11,"z","demand",-0.20248093688679
12,"z","demand",-0.177237231455408
13,"z","demand",-0.155127805277441
14,"z","demand",-0.13577049762908
15,"z","demand",-0.118825802288656
16,"z","demand",-0.103994544913939
17,"z","demand",-0.0910138203159621
18,"z","demand",-0.079653068783497
19,"z","demand",-0.0697102763173928
20,"z","demand",-0.0610085389640482
21,"z","demand",-0.0533929836389164
22,"z","demand",-0.0467280457682903
23,"z","demand",-0.0408950715975021
24,"z","demand",-0.035790213342426
25,"z","demand",-0.0313225838093402
26,"z","demand",-0.0274126398979367
27,"z","demand",-0.0239907671695522
28,"z","demand",-0.0209960407695932
29,"z","demand",-0.0183751408627257
30,"z","demand",-0.0160814033781276
31,"z","demand",-0.0140739892132376
32,"z","demand",-0.0123171571277815
33,"z","demand",-0.0107796273933308
34,"z","demand",-0.00943402487369789
35,"z","demand",-0.00825639162290484
36,"z","demand",-0.00722576032389073
37,"z","demand",-0.0063237809737482
38,"z","demand",-0.00553439416902175
39,"z","demand",-0.00484354517415847
40,"z","demand",-0.004238933682266
41,"z","demand",-0.00370979481278921
42,"z","demand",-0.00324670744686474
43,"z","demand",-0.00284142648784227
44,"z","demand",-0.00248673606043716
45,"z","demand",-0.00217632103478177
46,"z","demand",-0.00190465458791006
47,"z","demand",-0.00166689980075039
48,"z","demand",-0.00145882353859785
49,"z","demand",-0.00127672108174054
50,"z","demand",-0.00111735016431624
0,"z","supply",0.139929714523552
1,"z","supply",-0.105785094155869
2,"z","supply",-0.179479072997172
3,"z","supply",-0.202498578690706
4,"z","supply",-0.197310757562174
5,"z","supply",-0.182603795530946
6,"z","supply",-0.164351756443555
7,"z","supply",-0.146026762664495
8,"z","supply",-0.128817656152116
9,"z","supply",-0.113223636777428
10,"z","supply",-0.0993179997920863
11,"z","supply",-0.0870284055472879
12,"z","supply",-0.0762156643881174
13,"z","supply",-0.0667258623234254
14,"z","supply",-0.0584079320156848
15,"z","supply",-0.0511223314442223
16,"z","supply",-0.0447433474750971
17,"z","supply",-0.039159306482344
18,"z","supply",-0.034271680862214
19,"z","supply",-0.0299938716120049
20,"z","supply",-0.026249913412451
21,"z","supply",-0.0229732407911686
22,"z","supply",-0.0201055582995092
23,"z","supply",-0.0175958289388832
24,"z","supply",-0.0153993778356432
25,"z","supply",-0.0134771026851392
26,"z","supply",-0.0117947803103036
27,"z","supply",-0.010322458636563
28,"z","supply",-0.00903392402202294
29,"z","supply",-0.00790623482432374
30,"z","supply",-0.00691931307056542
31,"z","supply",-0.00605558704136538
32,"z","supply",-0.00529967844358863
33,"z","supply",-0.00463812862006056
34,"z","supply",-0.00405915893004956
35,"z","supply",-0.00355246103821176
36,"z","supply",-0.0031090133800712
37,"z","supply",-0.00272092053716969
38,"z","supply",-0.00238127266244489
39,"z","supply",-0.00208402245315795
40,"z","supply",-0.00182387748101471
41,"z","supply",-0.00159620596250288
42,"z","supply",-0.00139695429174281
43,"z","supply",-0.00122257486756486
44,"z","supply",-0.00106996292980655
45,"z","supply",-0.000936401280225532
46,"z","supply",-0.000819511903806016
47,"z","supply",-0.000717213629094833
48,"z","supply",-0.000627685073725392
49,"z","supply",-0.000549332215388685
50,"z","supply",-0.000480760010864701
